,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
aakg-1 III_-_12540952_12542691,aakg-1,WBGene00013732,Y111B2A.8,III_-_12540952_12542691,2.77%,13.87%,4.13%,5.47%,12.60%,1.37%,3.65%,14.33%,2.56%,11.76%,18.99%,14.80%,9.07%,9.55%,NA,7.85%,4.80%,16.41%,9.19%,4.73%,9.06%,18.79%,10.11%,12.20%,4.47%,3.36%,3.37%,6.87%,4.93%,7.77%,3.09%,6.75%,NA,NA,27.70%,8.68%,NA,NA,5.88%,7.42%,4.29%,6.40%,4.83%,8.91%,4.12%,15.31%
aakg-1 III_-_12542948_12544617,aakg-1,WBGene00013732,Y111B2A.8,III_-_12542948_12544617,NA,NA,2.89%,NA,1.56%,NA,NA,16.78%,4.58%,NA,NA,NA,7.07%,NA,NA,NA,NA,NA,NA,2.59%,2.93%,8.73%,20.86%,NA,NA,NA,NA,8.45%,NA,NA,NA,NA,NA,NA,NA,6.25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aakg-1 III_-_12544841_12547233,aakg-1,WBGene00013732,Y111B2A.8,III_-_12544841_12547233,13.37%,15.83%,22.24%,43.63%,NA,19.15%,12.04%,23.73%,17.24%,30.77%,61.36%,NA,27.90%,29.19%,9.66%,40.34%,25.60%,35.23%,20.20%,36.31%,23.79%,21.35%,37.07%,47.54%,24.18%,18.51%,31.13%,58.16%,22.33%,18.72%,20.73%,NA,26.45%,30.94%,35.69%,15.97%,25.56%,25.84%,49.62%,24.45%,25.87%,NA,44.28%,37.05%,14.19%,NA
aakg-1 III_-_12547307_12559997,aakg-1,WBGene00013732,Y111B2A.8,III_-_12547307_12559997,5.11%,NA,7.64%,NA,0%,0.79%,7.95%,23.67%,9.33%,25.96%,NA,NA,14.97%,7.95%,7.04%,8.01%,NA,NA,NA,7.83%,3.13%,17.27%,NA,NA,5.57%,12.49%,5.54%,NA,NA,7.14%,16.28%,NA,13.04%,8.09%,38.10%,5%,NA,2.97%,NA,4.03%,10.64%,NA,19.05%,30.39%,14.00%,NA
aakg-1 III_-_12560250_12561313,aakg-1,WBGene00013732,Y111B2A.8,III_-_12560250_12561313,NA,14.29%,NA,NA,NA,0.98%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aakg-1 III_-_12561879_12572640,aakg-1,WBGene00013732,Y111B2A.8,III_-_12561879_12572640,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.82%,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,2.89%,11.45%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,7.27%,NA,NA,4.36%,NA,NA,NA,NA,NA,NA
aakg-1 III_-_12572863_12574631,aakg-1,WBGene00013732,Y111B2A.8,III_-_12572863_12574631,NA,21.23%,3.33%,NA,20.05%,0.73%,3.94%,18.34%,4.50%,21.23%,NA,19.05%,0%,NA,NA,NA,NA,22.65%,NA,8.34%,0%,10.27%,16.74%,NA,NA,1.15%,2.54%,NA,NA,11.42%,4.21%,NA,NA,NA,4.17%,0%,2.98%,0.70%,NA,2.06%,NA,NA,NA,25.91%,3.13%,27.99%
aakg-1 III_-_12574950_12575089,aakg-1,WBGene00013732,Y111B2A.8,III_-_12574950_12575089,3.24%,7.95%,2.35%,4.01%,4.76%,0%,5.11%,12.49%,2.05%,19.18%,5.83%,NA,0%,4.51%,1.11%,9.78%,9.71%,NA,1.67%,NA,0%,18.62%,15.78%,2.03%,7.08%,6.51%,0%,11.61%,5.69%,8.08%,8.83%,1.39%,3.76%,3.75%,10%,0.86%,8.44%,2.70%,0%,0%,2.71%,1.53%,3.52%,10.13%,3.38%,5.18%
aakg-1 III_-_12575376_12587133,aakg-1,WBGene00013732,Y111B2A.8,III_-_12575376_12587133,NA,NA,NA,NA,2.68%,0.83%,NA,NA,NA,33.59%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,13.44%,NA,NA,NA,NA,NA,NA,NA,NA
aakg-4 X_-_2317966_2318076,aakg-4,WBGene00020135,T01B6.3,X_-_2317966_2318076,NA,NA,3.69%,NA,NA,0%,1.04%,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,12.51%,NA,NA,NA,NA,NA,NA,NA,6.25%,NA,NA,NA,NA,NA,NA,NA,5%,NA,NA,NA,0%,NA,NA,NA,NA,0%,NA,NA,NA
aakg-4 X_-_2319054_2319246,aakg-4,WBGene00020135,T01B6.3,X_-_2319054_2319246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.24%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aakg-5 II_-_9971715_9971823,aakg-5,WBGene00011276,R53.7,II_-_9971715_9971823,0.87%,NA,NA,NA,NA,0%,0%,NA,NA,18.71%,7.92%,0%,NA,NA,2.43%,2.28%,2.31%,9.29%,5.83%,NA,2.08%,NA,6.09%,7.53%,NA,NA,0.44%,NA,2.05%,10.58%,2.42%,NA,4.46%,NA,5%,0%,NA,2.03%,1.35%,1.24%,NA,1.35%,1.49%,NA,2.21%,NA
aakg-5 II_-_9972648_9972858,aakg-5,WBGene00011276,R53.7,II_-_9972648_9972858,1.52%,0%,5.15%,2.14%,0%,2.08%,0%,11.36%,1.89%,11.60%,0%,2.38%,0%,0.83%,0%,1.25%,1.92%,2.38%,0%,1.64%,5.56%,NA,1.66%,1.56%,3.42%,7.08%,1.85%,NA,3.56%,NA,2.50%,NA,2.03%,5.60%,0%,0%,2.72%,3.01%,1.14%,0.70%,2.23%,1.99%,4.16%,2.08%,1.64%,3.48%
aakg-5 II_-_9974704_9974928,aakg-5,WBGene00011276,R53.7,II_-_9974704_9974928,NA,8.02%,NA,NA,1.39%,0%,2.38%,NA,2.11%,82.22%,7.77%,13.20%,12.50%,NA,1.14%,4.59%,0.98%,8.65%,19.45%,NA,0%,NA,NA,12.20%,1.90%,NA,0.45%,NA,NA,14.85%,NA,NA,NA,NA,NA,0%,12.82%,2.08%,1.21%,0%,NA,2.58%,4.21%,NA,6.31%,37.43%
aass-1 IV_+_247153_248582,aass-1,WBGene00019819,R02D3.1,IV_+_247153_248582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,0.38%,22.08%
aat-3 X_+_2554475_2555063,aat-3,WBGene00000004,F52H2.2,X_+_2554475_2555063,3.77%,21.33%,NA,1.52%,0%,0%,1.30%,19.81%,1.73%,NA,2.89%,1.67%,0%,NA,0.57%,NA,0.32%,NA,NA,1.45%,6.67%,0%,1.04%,15.00%,NA,8.33%,0%,2.50%,5.90%,7.07%,NA,0%,4.59%,NA,0%,0%,NA,NA,2.82%,6.25%,0%,2.98%,0.42%,NA,2.31%,16.16%
aat-3 X_+_2556157_2556889,aat-3,WBGene00000004,F52H2.2,X_+_2556157_2556889,5.29%,NA,NA,2.74%,2.50%,11.11%,12.28%,NA,1.58%,NA,1.11%,9.45%,2.08%,NA,4.52%,NA,1.87%,NA,4.17%,1.87%,6.35%,1.52%,2.48%,11.02%,NA,NA,3.49%,NA,1.85%,17.32%,4.69%,4.26%,2.28%,NA,NA,0%,NA,NA,3.48%,6.55%,3.35%,2.78%,3.22%,1.19%,4.85%,10.43%
aat-5 I_-_2575629_2575839,aat-5,WBGene00000006,C55C2.5,I_-_2575629_2575839,NA,NA,3.78%,2.88%,32.72%,1.01%,NA,NA,2.25%,NA,NA,NA,4.05%,NA,NA,13.26%,NA,NA,25.42%,2.12%,6.02%,NA,16.69%,22.26%,18.32%,NA,NA,NA,NA,12.53%,NA,0.83%,NA,NA,NA,NA,NA,2.29%,NA,0%,NA,6.61%,NA,NA,NA,NA
abce-1 III_+_13157843_13159745,abce-1,WBGene00012714,Y39E4B.1,III_+_13157843_13159745,NA,NA,NA,NA,NA,NA,0.83%,18.84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.44%,NA,NA,NA,NA,NA,14.88%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.67%
abcf-2 III_-_13458343_13459031,abcf-2,WBGene00012097,T27E9.7,III_-_13458343_13459031,1.59%,NA,2.47%,1.59%,27.28%,1.76%,2.81%,31.41%,1.74%,23.98%,NA,32.50%,27.60%,3.19%,2.17%,NA,2.84%,28.69%,25.20%,2.20%,2.13%,28.90%,25.73%,NA,2.94%,NA,1.75%,22.49%,3.43%,17.51%,1.93%,2.06%,2.07%,NA,37.13%,NA,27.26%,2.47%,1.36%,0.50%,2.88%,2.79%,2.27%,36.21%,3.54%,28.36%
abcf-3 III_+_6174444_6174582,abcf-3,WBGene00018339,F42A10.1,III_+_6174444_6174582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.38%,5.18%,3.61%,0%,NA,NA,NA,NA,2.65%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76%
abhd-3.1 V_+_19956873_19957304,abhd-3.1,WBGene00013358,Y60A3A.7,V_+_19956873_19957304,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,36.91%,NA,8.33%,NA,5.04%,5.12%,NA,NA,8.33%,NA,NA,30.63%,NA,NA,NA,NA,NA,41.04%,NA,12.22%,NA,NA,NA,NA,NA,0%,NA,NA,NA,3.18%,NA,NA,NA,48.36%,NA,NA
abhd-5.2 V_+_4844986_4845168,abhd-5.2,WBGene00016507,C37H5.3,V_+_4844986_4845168,NA,8.28%,2.33%,NA,NA,NA,NA,17.81%,NA,19.68%,4.44%,10.61%,0%,9.90%,8.40%,NA,NA,NA,10%,5.51%,NA,6.67%,32.54%,4.38%,4.17%,NA,NA,NA,NA,NA,NA,15.40%,NA,NA,4.17%,NA,4.54%,4.36%,1.04%,NA,1.48%,5.25%,NA,23.41%,2.73%,NA
abhd-5.2 V_+_4845504_4846012,abhd-5.2,WBGene00016507,C37H5.3,V_+_4845504_4846012,11.07%,NA,8.04%,NA,NA,NA,NA,25.55%,4.23%,34.45%,NA,NA,NA,3.49%,9.03%,2.96%,0%,NA,NA,7.15%,NA,NA,NA,NA,NA,5.10%,NA,31.27%,NA,NA,10.50%,9.17%,NA,NA,NA,NA,NA,2.52%,1.14%,NA,7.24%,10.05%,NA,NA,NA,NA
abl-1 X_-_10612400_10612597,abl-1,WBGene00000018,M79.1,X_-_10612400_10612597,NA,NA,NA,3.96%,NA,NA,9.17%,NA,NA,NA,NA,NA,NA,5.92%,3.87%,8.68%,NA,NA,NA,NA,8.33%,27.94%,24.46%,20.28%,NA,NA,NA,29.00%,NA,NA,NA,2.22%,10.47%,NA,NA,NA,NA,5.45%,NA,NA,NA,5.45%,NA,NA,NA,17.71%
abl-1 X_-_10612758_10616939,abl-1,WBGene00000018,M79.1,X_-_10612758_10616939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.50%,5.42%,NA,NA,NA,NA,0%,NA,NA,31.52%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA
abt-2 I_-_2256328_2257050,abt-2,WBGene00000020,F12B6.1,I_-_2256328_2257050,NA,14.38%,NA,NA,NA,NA,NA,0%,NA,13.43%,NA,NA,NA,NA,NA,NA,8.01%,13.55%,NA,NA,NA,NA,6.50%,6.88%,NA,NA,1.04%,9.66%,NA,NA,7.44%,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,45.12%,NA,4.83%
abt-2 I_-_2257769_2258513,abt-2,WBGene00000020,F12B6.1,I_-_2257769_2258513,NA,NA,NA,NA,NA,0%,0%,NA,NA,18.94%,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14%,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,29.58%,NA,NA
abt-2 I_-_2259519_2260368,abt-2,WBGene00000020,F12B6.1,I_-_2259519_2260368,5.96%,NA,NA,NA,0%,2.50%,0.83%,NA,NA,26.04%,NA,0%,4.17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.35%,NA,5.72%,NA,NA,36.42%,NA,NA,NA,0%,8.86%,NA,NA,NA,NA,NA,NA,0%,NA,6.26%,NA,29.20%,NA,NA
abt-2 I_-_2261784_2262349,abt-2,WBGene00000020,F12B6.1,I_-_2261784_2262349,NA,0%,NA,NA,5%,6.25%,0%,4.01%,NA,8.40%,NA,NA,16.73%,NA,2.21%,14.83%,13.00%,19.00%,NA,5.01%,4.17%,6.35%,8.52%,10.21%,NA,1.91%,6.83%,23.73%,NA,6.25%,7.50%,NA,NA,NA,5%,NA,9.33%,NA,NA,0%,NA,6.61%,NA,44.26%,NA,8.02%
abt-2 I_-_2266075_2266902,abt-2,WBGene00000020,F12B6.1,I_-_2266075_2266902,NA,NA,NA,NA,NA,0%,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.17%,NA,NA,NA,3.33%,NA,NA,NA,NA,NA,NA,NA,NA,9.06%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.33%,NA,NA
abt-2 I_-_2267434_2267646,abt-2,WBGene00000020,F12B6.1,I_-_2267434_2267646,NA,NA,NA,NA,0%,0%,0%,0%,6.13%,28.55%,NA,29.17%,2.78%,NA,8.04%,NA,25.00%,16.25%,NA,NA,0%,3.33%,9.72%,NA,NA,13.82%,NA,NA,NA,12.50%,NA,10.28%,NA,NA,0%,0%,8.14%,NA,NA,5%,7.35%,14.54%,12.49%,34.16%,NA,4.76%
abt-2 I_-_2267897_2268802,abt-2,WBGene00000020,F12B6.1,I_-_2267897_2268802,NA,3.13%,NA,NA,0%,1.85%,2.50%,NA,NA,18.79%,NA,NA,3.33%,NA,0%,NA,19.62%,NA,NA,NA,0%,NA,NA,NA,3.25%,NA,NA,NA,NA,3%,NA,NA,NA,NA,0%,12.50%,13.54%,NA,NA,0%,NA,NA,NA,35.00%,NA,3.25%
abt-2 I_-_2269355_2270203,abt-2,WBGene00000020,F12B6.1,I_-_2269355_2270203,NA,NA,NA,NA,NA,NA,0%,NA,NA,14.80%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abt-2 I_-_2270663_2271635,abt-2,WBGene00000020,F12B6.1,I_-_2270663_2271635,7.17%,3.13%,NA,NA,0%,0%,2.56%,7.81%,NA,22.09%,NA,2.38%,1.67%,NA,0%,NA,NA,NA,NA,NA,0%,NA,NA,22.89%,0.27%,NA,NA,NA,NA,0%,2.68%,NA,NA,NA,0%,0%,12.58%,NA,NA,0%,NA,NA,NA,29.88%,NA,1.25%
abt-2 I_-_2272327_2272537,abt-2,WBGene00000020,F12B6.1,I_-_2272327_2272537,3.00%,NA,1.11%,0.65%,NA,0%,0.78%,NA,0.60%,21.31%,NA,NA,31.23%,0.52%,6.61%,NA,4.78%,NA,NA,0.93%,0%,NA,NA,NA,2.85%,0.89%,0.98%,NA,1.31%,8.33%,3.32%,0.79%,1.36%,1.43%,NA,0%,NA,2.01%,2.77%,2.50%,1.32%,2.28%,2.99%,21.78%,2.21%,NA
abt-4 V_-_329570_329718,abt-4,WBGene00000022,Y39D8C.1,V_-_329570_329718,17.36%,NA,3.33%,0%,NA,0%,0%,NA,NA,NA,0%,NA,0%,NA,NA,0%,NA,NA,NA,2.60%,NA,NA,9.17%,0%,7.14%,0%,NA,NA,8.89%,15.91%,NA,NA,3.96%,NA,NA,0%,NA,0%,NA,NA,NA,0%,0%,NA,0%,NA
abts-1 I_-_8297404_8297742,abts-1,WBGene00009920,F52B5.1,I_-_8297404_8297742,3.28%,24.38%,4.18%,5.29%,30.30%,3.85%,0.30%,22.27%,5.13%,18.02%,19.13%,18.44%,19.92%,2.51%,3.45%,5.26%,4.01%,18.46%,24.07%,2.08%,4.16%,16.47%,25.81%,16.24%,2.44%,3.99%,1.73%,14.50%,5.59%,16.99%,6.74%,2.77%,3.43%,2.78%,25.55%,0%,17.01%,3.10%,2.85%,0.60%,4.09%,3.13%,2.62%,20.88%,NA,16.16%
abts-1 I_-_8298275_8298534,abts-1,WBGene00009920,F52B5.1,I_-_8298275_8298534,NA,NA,5.47%,NA,32.72%,0%,NA,9.68%,NA,NA,NA,5.60%,6.60%,NA,2.58%,NA,3.01%,NA,NA,NA,4.47%,NA,26.92%,15.29%,2.48%,NA,NA,6.23%,NA,13.71%,NA,5.07%,NA,NA,NA,0%,NA,5.57%,NA,1.20%,NA,NA,2.01%,NA,NA,NA
abts-1 I_-_8299195_8299497,abts-1,WBGene00009920,F52B5.1,I_-_8299195_8299497,1.44%,11.23%,4.72%,6.26%,9.21%,1.32%,5.69%,13.64%,5.13%,11.05%,13.58%,10.64%,2.93%,2.21%,2.63%,NA,3.95%,16.08%,23.56%,5.13%,NA,17.26%,12.62%,9.37%,3.06%,6.16%,NA,NA,5.27%,17.25%,7.95%,1.75%,4.46%,8.51%,1.79%,0%,NA,1.56%,3.24%,0%,4.63%,5.54%,1.94%,NA,9.07%,10.74%
abts-1 I_-_8299863_8300335,abts-1,WBGene00009920,F52B5.1,I_-_8299863_8300335,1.81%,NA,3.39%,1.58%,NA,0.93%,NA,NA,NA,NA,NA,NA,NA,1.62%,1.38%,3.59%,2.16%,NA,NA,0.75%,1.41%,NA,14.42%,NA,0.87%,1.92%,NA,NA,3.01%,NA,2.48%,NA,1.51%,1.76%,NA,3.33%,NA,1.14%,1.93%,NA,3.02%,2.63%,1.51%,NA,0.33%,NA
abts-1 I_-_8301483_8301843,abts-1,WBGene00009920,F52B5.1,I_-_8301483_8301843,2.24%,NA,3.20%,NA,NA,NA,NA,22.22%,NA,17.45%,NA,NA,NA,NA,5.00%,8.77%,2.87%,23.76%,NA,7.91%,1.44%,20.46%,19.30%,21.39%,4.39%,5.15%,NA,19.80%,NA,NA,3.47%,3.47%,NA,NA,26.51%,NA,21.28%,2.27%,NA,NA,NA,NA,NA,21.41%,3.92%,20.65%
abts-1 I_-_8302033_8303641,abts-1,WBGene00009920,F52B5.1,I_-_8302033_8303641,4.49%,NA,5.53%,NA,31.09%,5.56%,2.15%,29.21%,NA,35.39%,24.21%,20.11%,25.92%,NA,2.72%,5.12%,1.85%,25.26%,27.84%,4.14%,4.23%,21.27%,28.79%,17.91%,3.63%,7.58%,NA,27.77%,NA,22.01%,5.48%,4.81%,NA,NA,21.80%,5.36%,23.88%,3.05%,NA,2.69%,4.43%,NA,3.54%,35.67%,NA,24.92%
abts-1 I_-_8303746_8304113,abts-1,WBGene00009920,F52B5.1,I_-_8303746_8304113,NA,NA,3.14%,NA,NA,5.45%,0.43%,NA,NA,NA,NA,NA,NA,NA,1.33%,1.66%,NA,NA,NA,1.16%,0.78%,NA,NA,NA,2.29%,NA,NA,NA,NA,NA,1.13%,0.28%,NA,NA,6.75%,0%,NA,0.82%,NA,1.14%,NA,NA,NA,NA,NA,NA
abts-1 I_-_8304381_8306222,abts-1,WBGene00009920,F52B5.1,I_-_8304381_8306222,4.46%,NA,6.65%,NA,NA,9.21%,NA,14.05%,NA,18.99%,NA,NA,NA,NA,3.79%,NA,NA,3.99%,18.66%,NA,1.91%,NA,NA,NA,3.20%,5.68%,NA,11.04%,NA,9.02%,NA,2.78%,NA,NA,NA,3.33%,NA,1.54%,NA,3.05%,NA,NA,NA,3.03%,2.50%,NA
abts-1 I_-_8306089_8306222,abts-1,WBGene00009920,F52B5.1,I_-_8306089_8306222,84.45%,NA,NA,69.40%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,0%,NA,NA,NA,NA,55%,NA,NA,NA,NA,NA,NA,NA,86.67%,NA,NA,NA,67.73%,NA,43.44%,NA,57.29%,NA,78.34%,NA,NA,NA
abts-1 I_-_8306282_8307501,abts-1,WBGene00009920,F52B5.1,I_-_8306282_8307501,NA,NA,NA,NA,29.84%,NA,18.62%,NA,NA,NA,NA,NA,3.32%,NA,27.99%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43%,NA,NA,NA,NA,NA,NA,NA,0.76%,NA,NA,NA,NA,NA,4.87%
abts-3 II_+_6133637_6137833,abts-3,WBGene00019018,F57F10.1,II_+_6133637_6137833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
abts-3 II_+_6136285_6137833,abts-3,WBGene00019018,F57F10.1,II_+_6136285_6137833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.42%,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,36.09%,NA,NA,NA,7.64%,NA,NA,0%,NA,7.15%,NA,NA,14.29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA
abts-3 II_+_6150742_6151145,abts-3,WBGene00019018,F57F10.1,II_+_6150742_6151145,NA,NA,NA,NA,NA,NA,0%,0%,NA,NA,NA,27.81%,0%,NA,NA,NA,NA,NA,NA,NA,0%,NA,25.99%,NA,37.26%,NA,NA,NA,NA,9.26%,NA,NA,NA,NA,13.26%,0%,NA,NA,NA,4.17%,NA,NA,NA,NA,NA,NA
