,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
abts-3 II_+_6147738_6150742_6151145,abts-3,WBGene00019018,F57F10.1,II_+_6147738_6150742_6151145,15.14%,20.67%,NA,93.73%,NA,100%,47.22%,87.50%,47.50%,100%,76.83%,57.81%,90%,62.78%,60.45%,83.03%,NA,66.67%,75%,NA,60%,NA,NA,NA,96.25%,77.56%,64.68%,NA,47.78%,62.50%,NA,66.14%,NA,NA,NA,0%,69.48%,70.06%,7.01%,NA,NA,10.58%,71.07%,NA,71.67%,NA
abts-4 X_-_6754264_6754331_6754554,abts-4,WBGene00019844,R03E9.3,X_-_6754264_6754331_6754554,NA,NA,70.83%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,88.62%,NA,NA,NA,NA,NA,NA,79.17%,NA,90.04%,NA,95.46%,38.89%,NA,100%,100%,95%,90.48%,86.61%,77.51%,NA,NA,NA,NA,NA,95%,NA,NA,NA,78.57%,NA,77.80%
abts-4 X_-_6757513_6758075_6759139,abts-4,WBGene00019844,R03E9.3,X_-_6757513_6758075_6759139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,91.97%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acbp-7 III_+_4838260_4840346_4840737,acbp-7,WBGene00044603,F26A1.15,III_+_4838260_4840346_4840737,0%,100%,NA,100%,59.25%,NA,NA,0%,76.67%,NA,100%,NA,NA,100%,100%,NA,0%,NA,NA,100%,100%,4.04%,50%,42.86%,75%,0%,0%,50%,NA,100%,100%,NA,80%,33.34%,100%,NA,0%,0%,NA,NA,79.17%,100%,50%,NA,100%,63.89%
acc-1 IV_+_9658167_9660420_9660962,acc-1,WBGene00010275,F58G6.4,IV_+_9658167_9660420_9660962,25%,NA,46.53%,25%,NA,50%,90%,0%,35.58%,100%,60%,75%,NA,63.52%,95.38%,0%,25%,62.50%,100%,87.50%,11.11%,0%,65.90%,0%,50%,20%,27.78%,0%,25%,0%,20%,65.69%,33.17%,48.33%,100%,50%,26.67%,67.86%,88.63%,0%,21.71%,18.64%,12.43%,14.39%,50%,82.22%
acc-4 III_-_13480780_13480949_13481417,acc-4,WBGene00012099,T27E9.9,III_-_13480780_13480949_13481417,0%,NA,53.33%,38.69%,0%,100%,NA,0%,97.44%,0%,0%,NA,100%,50%,0%,60.10%,75%,66.67%,NA,13.34%,50%,NA,99.52%,62.50%,NA,85.19%,44.70%,NA,83.33%,NA,58.34%,55.56%,NA,64.15%,NA,NA,33.73%,NA,40%,100%,4.14%,NA,8.62%,100%,50%,65%
acc-4 III_-_13480780_13481417_13481565,acc-4,WBGene00012099,T27E9.9,III_-_13480780_13481417_13481565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,22.22%,NA,NA,NA,NA,NA,NA,NA,NA,96.43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ace-3 II_+_14207278_14208182_14208717,ace-3,WBGene00000037,Y48B6A.8,II_+_14207278_14208182_14208717,0%,0%,NA,NA,0%,NA,0%,0%,0%,0%,0%,NA,8.33%,NA,0%,NA,NA,0%,0%,0%,0%,NA,NA,0%,NA,0%,NA,NA,0%,NA,NA,NA,NA,6.38%,0%,40%,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA
acin-1 I_+_4271847_4271891_4271944,acin-1,WBGene00016601,C43E11.1,I_+_4271847_4271891_4271944,1.44%,0%,2.59%,0%,0%,0%,0%,2.27%,2.08%,11.11%,4.86%,18.15%,21.43%,7.30%,0%,0%,5.24%,4.06%,0%,17.58%,0%,18.89%,8.92%,18.97%,4.52%,0%,4.17%,0%,1.23%,0%,2.89%,4.11%,5.22%,3.66%,0%,0%,2.20%,0%,0%,28.57%,3.76%,3.33%,4.23%,4.55%,1.22%,5.84%
acl-4 X_-_2068752_2069524_2069688,acl-4,WBGene00018657,F49H12.6,X_-_2068752_2069524_2069688,NA,NA,68.91%,NA,NA,NA,NA,64.93%,NA,76.35%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.54%,NA,NA,NA,NA,NA,18.75%,21.62%,NA,NA,NA,NA,NA,31.67%,NA,76.39%,NA,NA,NA,NA
acl-8 V_+_6452189_6452672_6452745,acl-8,WBGene00020264,T05H4.1,V_+_6452189_6452672_6452745,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,80.37%,100%,100%,100%,100%,99.24%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
acr-17 V_+_2612963_2613565_2613979,acr-17,WBGene00000056,F53E10.2,V_+_2612963_2613565_2613979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57%,NA,NA,NA,75%,NA,NA,NA,NA,NA,NA,NA,92.11%,NA,NA,NA
acr-20 II_-_14376418_14376466_14376470,acr-20,WBGene00000059,R06A4.10,II_-_14376418_14376466_14376470,75%,100%,66.67%,91.32%,NA,100%,82.15%,100%,37.50%,81.67%,100%,100%,93.83%,66.67%,89.40%,100%,100%,50%,NA,100%,66.67%,75%,70.24%,10%,79.48%,62.50%,91.59%,75%,71.43%,NA,83.34%,92.03%,79.17%,86.67%,NA,NA,41.67%,63.33%,100%,0%,93.33%,78.13%,66.67%,88.89%,100%,62.50%
acr-21 III_+_6585500_6585630_6585940,acr-21,WBGene00000060,F27B3.2,III_+_6585500_6585630_6585940,NA,NA,96.43%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.97%,90.58%,NA,95.20%,NA,82.85%,11.11%,NA,NA
acr-5 III_-_6514599_6514672_6514690,acr-5,WBGene00000044,K03F8.2,III_-_6514599_6514672_6514690,0%,NA,21.43%,47.92%,NA,0%,0%,0%,NA,0%,NA,NA,36.86%,50%,75%,30.56%,0%,NA,0%,100%,100%,50%,100%,100%,20.51%,0%,54.17%,NA,44.44%,NA,5.88%,0%,21.67%,65.05%,0%,100%,8.92%,0%,0%,NA,33.33%,33.33%,0%,100%,100%,55.56%
acr-9 X_-_13643653_13643698_13643837,acr-9,WBGene00000048,C40C9.2,X_-_13643653_13643698_13643837,50%,NA,50%,0%,NA,0%,0%,NA,33.33%,0%,5.36%,0%,NA,25%,NA,50%,83.34%,NA,0%,0%,50%,NA,9.79%,NA,0%,0%,16.67%,0%,11.11%,NA,26.67%,100%,0%,41.67%,NA,NA,0%,0%,0%,16.67%,27.50%,11.67%,35.42%,0%,0%,18.66%
acs-1 V_+_6527520_6529115_6529220,acs-1,WBGene00018488,F46E10.1,V_+_6527520_6529115_6529220,100%,86.67%,95.66%,93.80%,100%,100%,100%,95%,88.89%,100%,51.14%,95.24%,85.72%,85.02%,90.49%,100%,94.44%,77.08%,100%,100%,87.50%,95.22%,99.11%,100%,91.54%,94.24%,87.27%,87.50%,98.55%,100%,96.43%,91.67%,97.79%,97.61%,100%,85.71%,95.49%,50.33%,89.59%,100%,71.49%,66.08%,92.87%,87.50%,98.15%,98.83%
acs-13 I_-_515236_516349_519733,acs-13,WBGene00022037,Y65B4BL.5,I_-_515236_516349_519733,17.58%,25.09%,32.20%,13.81%,48.34%,14.55%,1.47%,13.38%,19.19%,29.17%,58.49%,15%,27.78%,20.27%,16.16%,2.78%,12.70%,26.39%,44.45%,10.74%,50%,7.77%,49.77%,32.36%,7.32%,42.75%,9.06%,9.94%,47.69%,52.29%,53.32%,31.72%,31.68%,28.29%,0%,10%,18.46%,29.61%,7.86%,28.13%,21.60%,13.01%,7.56%,38.27%,38.85%,21.24%
acs-17 X_-_5939854_5940094_5940103,acs-17,WBGene00016716,C46F4.2,X_-_5939854_5940094_5940103,60.83%,100%,76.25%,97.33%,86.67%,NA,100%,100%,90.48%,75%,95%,100%,100%,91.25%,97.22%,NA,100%,83.33%,NA,82.15%,0%,90.95%,96.43%,88.42%,92.49%,90.63%,93.33%,81.25%,49.73%,82.41%,80%,83.34%,95%,64.48%,0%,70.84%,65.66%,95%,66.67%,100%,92.70%,66.67%,90.48%,87.50%,72.92%,86.64%
acs-20 IV_-_12396778_12396886_12398552,acs-20,WBGene00009218,F28D1.9,IV_-_12396778_12396886_12398552,NA,NA,74.55%,NA,NA,NA,NA,NA,NA,NA,NA,16.67%,NA,NA,NA,NA,NA,NA,NA,5.56%,NA,80%,87.50%,NA,NA,NA,NA,NA,91.18%,NA,60%,NA,NA,NA,NA,NA,NA,NA,NA,95.83%,NA,NA,NA,100%,NA,92.50%
act-3 V_-_11073264_11074413_11076788,act-3,WBGene00000065,T04C12.4,V_-_11073264_11074413_11076788,NA,NA,8.33%,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,28.64%,6.09%,NA,NA,10.72%,NA,NA,NA,0%,0%,0%,46.85%,7.50%,NA,NA,NA,0%,NA,0%,0%,NA,0%,NA,NA,NA,NA,NA,10%,NA,NA,0%,NA,0%
act-4 X_+_4960718_4962700_4962798,act-4,WBGene00000066,M03F4.2,X_+_4960718_4962700_4962798,99.94%,100%,100%,100.00%,100%,100%,100%,100%,100%,100%,99.96%,99.92%,99.93%,99.95%,100%,100%,100%,100%,99.93%,99.89%,100%,100%,99.96%,100%,99.99%,99.97%,100%,100%,100%,100%,99.97%,100%,99.97%,99.99%,100%,99.85%,99.91%,100%,99.86%,99.98%,99.93%,99.99%,100%,100%,99.99%,100%
add-1 X_-_4854873_4854964_4855318,add-1,WBGene00000072,F39C12.2,X_-_4854873_4854964_4855318,NA,NA,NA,NA,85.72%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
add-1 X_-_4857340_4857431_4857643,add-1,WBGene00000072,F39C12.2,X_-_4857340_4857431_4857643,100%,90.65%,82.71%,85.10%,89.29%,100%,66.67%,16.67%,87.99%,0%,2.83%,100%,50%,29.28%,8.13%,66.67%,50%,100%,86.67%,77.78%,87.50%,83.34%,79.19%,92.75%,90%,54.17%,88.89%,96.88%,93.33%,83.34%,83.98%,59.26%,78.75%,70.31%,NA,100%,66.58%,85.39%,89.90%,100%,89.24%,76.67%,99.19%,100%,27.34%,81.10%
add-1 X_-_4857340_4857431_4857799,add-1,WBGene00000072,F39C12.2,X_-_4857340_4857431_4857799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05%,NA
add-1 X_-_4857340_4857643_4857799,add-1,WBGene00000072,F39C12.2,X_-_4857340_4857643_4857799,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,37.50%,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA
adr-1 I_+_7774270_7774595_7774641,adr-1,WBGene00000079,H15N14.1,I_+_7774270_7774595_7774641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.29%,0%,NA,NA,NA,NA,NA,53.42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adt-1 X_+_12687298_12687602_12687685,adt-1,WBGene00000082,C02B4.1,X_+_12687298_12687602_12687685,10.45%,0%,68.75%,51.85%,0%,NA,0%,0%,38.56%,38.89%,25%,26.67%,0%,32.18%,25%,NA,100%,33.33%,0%,40.90%,NA,NA,NA,NA,7.84%,NA,NA,100%,NA,NA,NA,NA,NA,32.99%,0%,NA,27.03%,33.33%,25%,50%,66.19%,29.17%,42.68%,51.19%,14.05%,NA
adt-2 X_+_7592907_7592952_7593222,adt-2,WBGene00000083,F08C6.1,X_+_7592907_7592952_7593222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,93.18%,NA,100%,100%,NA,NA,NA,NA,NA,100%,NA,96.16%,NA,87.50%,NA,NA,18.18%,NA,NA,NA,NA,NA,NA,100%,NA,NA,100%
afd-1 I_+_2166130_2170907_2172002,afd-1,WBGene00021009,W03F11.6,I_+_2166130_2170907_2172002,100%,100%,92.86%,100%,100%,100%,100%,88.89%,100%,100%,100%,100%,100%,100%,91.67%,100%,100%,100%,100%,90%,100%,71.86%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.17%,98.75%,100%,100%,98.33%,100%,100%,100%,100%,100%,100%,91.67%,100%,100%
afd-1 I_+_2186713_2192747_2192842,afd-1,WBGene00021009,W03F11.6,I_+_2186713_2192747_2192842,93.86%,95.84%,88.33%,72.16%,88.24%,100%,61.36%,37.10%,51.67%,93.89%,71.67%,55.56%,100%,91.28%,84.51%,86.11%,75.79%,36.67%,80%,71.87%,66.67%,80.79%,94.59%,80.78%,93.81%,87.81%,51.93%,84.39%,53.21%,72.00%,98.69%,93.18%,87.96%,90.54%,100%,100%,94.51%,78.05%,55.67%,43.75%,90.65%,85.56%,93.70%,96.43%,95.67%,94.34%
afd-1 I_+_2197284_2197923_2200008,afd-1,WBGene00021009,W03F11.6,I_+_2197284_2197923_2200008,100%,100%,100%,100%,100%,46.78%,NA,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,88.89%,97.30%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,100%,81.91%,100%,100%,93.47%,100%,100%,100%,100%,100%,100%
age-1 II_-_11526795_11526844_11526880,age-1,WBGene00000090,B0334.8,II_-_11526795_11526844_11526880,45%,86.67%,83.62%,44.45%,50%,100%,53.33%,56.67%,80.54%,68.52%,75%,100%,43.75%,79.76%,70.46%,93.75%,94.44%,95.83%,100%,80.63%,100%,66.67%,82.55%,95.83%,92.73%,97.37%,58.33%,79.81%,92.50%,63.89%,90.28%,90.79%,86.96%,70.01%,100%,100%,95%,92.50%,74.29%,100%,70.82%,60.42%,86.32%,100%,88.64%,76.52%
agr-1 II_-_6772446_6772487_6774137,agr-1,WBGene00018304,F41G3.12,II_-_6772446_6772487_6774137,100%,NA,20.83%,40%,NA,NA,100%,0%,76%,100%,33.33%,1.85%,NA,6.67%,0%,0%,0%,NA,NA,48.48%,NA,87.50%,30.98%,18.33%,0%,33.33%,90.58%,NA,16.67%,100%,47.80%,15.87%,15.87%,17.33%,NA,NA,25%,33.33%,0.97%,66.67%,10.67%,34.44%,8.53%,0%,100%,25%
ags-3 X_-_5293736_5294057_5295577,ags-3,WBGene00000092,F32A6.4,X_-_5293736_5294057_5295577,99.24%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.62%,100%,100%,96.67%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.96%,88.39%,100%,100%,100%,100%,100%,100%,100%,100%
ags-3 X_-_5296957_5297203_5297563,ags-3,WBGene00000092,F32A6.4,X_-_5296957_5297203_5297563,NA,96.67%,97.12%,100%,NA,NA,NA,84.45%,96.21%,96.43%,93.75%,93.33%,NA,83.75%,90.48%,89.57%,100%,97.50%,NA,65.45%,NA,100%,93.33%,97.92%,96.71%,97.50%,100%,100%,100%,91.67%,88.89%,NA,89.40%,NA,NA,NA,92.96%,98.33%,92.71%,100%,98.82%,94.68%,98.44%,100%,93.18%,100%
AH9.1 X_-_2245715_2249090_2250166,AH9.1,WBGene00014998,AH9.1,X_-_2245715_2249090_2250166,100%,NA,100%,100%,0%,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AH9.6 X_-_2263524_2263751_2263877,AH9.6,WBGene00044701,AH9.6,X_-_2263524_2263751_2263877,85.54%,100%,95.83%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99.08%,100%,100%,100%,99.57%,100%,100%,NA,100%,100%,100%,100%,98.69%,100%,98.96%,100%,100%,100%
ajm-1 X_+_9095146_9097252_9097333,ajm-1,WBGene00000100,C25A11.4,X_+_9095146_9097252_9097333,96.67%,84.29%,92.05%,66.07%,0%,90%,100%,83.34%,100%,100%,79.33%,100%,50%,83.33%,61.11%,0%,100%,87.50%,100%,96.43%,100%,79.82%,94.17%,59.11%,92.31%,78.04%,96.30%,89.74%,93.75%,66.67%,94.67%,95.83%,95.70%,91.72%,100%,100%,75.87%,93.18%,92.44%,100%,94.16%,75.56%,95.14%,100%,96.92%,90.11%
ajm-1 X_+_9100369_9103408_9103634,ajm-1,WBGene00000100,C25A11.4,X_+_9100369_9103408_9103634,98.08%,80%,98.08%,96.67%,100%,100%,100%,81.25%,100%,100%,100%,100%,100%,97.73%,99%,100%,100%,100%,100%,98.04%,100%,94.98%,98.10%,97.46%,100%,98.61%,98.55%,100%,99.85%,100%,100%,95.29%,98.40%,98.72%,100%,100%,99.41%,100%,98.97%,100%,99.09%,98%,100%,100%,100%,98.55%
ajm-1 X_+_9109260_9109796_9109916,ajm-1,WBGene00000100,C25A11.4,X_+_9109260_9109796_9109916,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.29%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.61%,45.45%,NA,90.87%,NA,NA,NA,72.14%,NA,NA,NA,NA,NA,NA,22.73%,NA,NA,NA,NA,NA,NA
aka-1 II_-_7476636_7476680_7476699,aka-1,WBGene00000101,D1022.7,II_-_7476636_7476680_7476699,16.67%,31.25%,3.54%,0%,0%,7.15%,0%,28.13%,0%,3.13%,0%,0%,0%,6.58%,0%,0%,0%,8.33%,0%,0%,0%,0%,10.21%,0%,2.88%,6.12%,0%,1.32%,2.52%,0%,12.19%,1.85%,15.12%,10.60%,0%,0%,0.69%,0%,0%,13.33%,9.77%,12.22%,11.46%,25%,6.67%,3.85%
akap-1 III_+_6346490_6353780_6354397,akap-1,WBGene00016977,C56G2.1,III_+_6346490_6353780_6354397,33.42%,36.02%,18.75%,4.87%,7.84%,9.93%,14.08%,6.43%,44.83%,32.71%,40.47%,45.53%,26.01%,24.85%,5.70%,6.62%,5.07%,33.86%,34.05%,39.27%,17.03%,61.16%,63.58%,69.09%,7.06%,34.23%,18.86%,31.39%,36.32%,77.00%,48.35%,45.84%,30.08%,52.80%,48.46%,10.56%,35.98%,5.39%,19.04%,22.63%,20.72%,24.36%,13.28%,37.77%,77.15%,65.18%
