,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
add-1 X_-_4857340_4857644_4857743_4857799,add-1,WBGene00000072,F39C12.2,X_-_4857340_4857644_4857743_4857799,NA,100%,NA,NA,100%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,98.37%,NA,NA,100%,100%,NA,100%,100%,NA,NA,NA,25%,NA,100%,NA,NA,NA,98.62%,NA,94.29%,NA,NA,100%
adr-1 I_+_7774270_7774397_7774595_7774641,adr-1,WBGene00000079,H15N14.1,I_+_7774270_7774397_7774595_7774641,16.72%,15%,10.49%,18.27%,0%,22.73%,0%,0%,19.07%,3.13%,19.17%,25%,3.57%,14.69%,13.99%,0%,12.92%,10.83%,12.50%,NA,0%,18.35%,11.08%,15.03%,NA,52.51%,7.36%,21.00%,27.80%,25.56%,34.58%,36.77%,29.74%,30.33%,0%,NA,16.01%,20.66%,26.60%,74.66%,17.01%,38.52%,29.24%,12.05%,21.57%,19.78%
adt-1 X_+_12687298_12687428_12687602_12687685,adt-1,WBGene00000082,C02B4.1,X_+_12687298_12687428_12687602_12687685,84.01%,NA,41.02%,63.24%,100%,100%,100%,100%,67.24%,36.63%,62.50%,68.89%,100%,64.23%,80.84%,NA,7.14%,62.50%,100%,54.05%,NA,62.26%,83.53%,90.19%,87.87%,60.40%,90.30%,0%,66.52%,60.63%,52.05%,70.32%,47.64%,62.93%,NA,NA,79.80%,50%,58.34%,25%,42.46%,75.53%,59.85%,51.35%,72.64%,74.71%
agr-1 II_-_6770266_6770314_6770521_6770674,agr-1,WBGene00018304,F41G3.12,II_-_6770266_6770314_6770521_6770674,0%,0%,0%,0%,NA,NA,0%,NA,5.11%,NA,0%,24.50%,NA,0%,NA,25%,0%,0%,0%,0%,NA,8.33%,10.39%,8.33%,0%,10.42%,10.29%,0%,4.17%,NA,3.13%,23.81%,11.91%,8.33%,NA,NA,0%,0%,57.31%,8.33%,7.38%,8.33%,5.34%,0%,0%,0%
ags-3 X_-_5296957_5297204_5297405_5297563,ags-3,WBGene00000092,F32A6.4,X_-_5296957_5297204_5297405_5297563,23.53%,4.17%,1.44%,0%,0%,30%,0%,10.35%,3.32%,3.35%,6.25%,3.33%,3.26%,10.61%,4.76%,5.22%,0%,1.25%,3.33%,21.66%,0%,0%,3.89%,1.04%,2.14%,4.82%,0%,0%,1.79%,4.17%,5.56%,1.52%,5.30%,1.25%,0%,0%,5.07%,4.48%,5.73%,0%,0.59%,3.66%,1.99%,0%,5.28%,0%
AH9.1 X_-_2243861_2244022_2244088_2244134,AH9.1,WBGene00014998,AH9.1,X_-_2243861_2244022_2244088_2244134,100%,100%,93.92%,91.37%,100%,100%,12.50%,NA,100%,100%,NA,25%,100%,100%,NA,87.50%,100%,100%,91.29%,84.30%,100%,75.65%,100%,100%,100%,100%,100%,95.77%,100%,NA,77.50%,100%,100%,100%,NA,NA,100%,100%,100%,NA,100%,100%,100%,100%,95.09%,100%
ajm-1 X_+_9109260_9109673_9109796_9109916,ajm-1,WBGene00000100,C25A11.4,X_+_9109260_9109673_9109796_9109916,46.48%,55.42%,45.24%,62.08%,100%,16.67%,32.50%,41.67%,75%,52.29%,43.33%,62.50%,35.19%,49.80%,55.69%,NA,46.21%,78.89%,79.17%,62.71%,NA,55.69%,34.55%,57.61%,41.19%,31.50%,26.63%,60.47%,19.34%,73.53%,37.78%,67.08%,30.60%,52.15%,NA,100%,40.21%,55%,13.56%,64.78%,41.62%,43.23%,53.39%,59.44%,40.59%,42.32%
akap-1 III_+_6346490_6346710_6353780_6354397,akap-1,WBGene00016977,C56G2.1,III_+_6346490_6346710_6353780_6354397,NA,79.52%,NA,27.59%,12.50%,12.50%,38.10%,0%,59.02%,NA,66.99%,33.34%,NA,NA,51.70%,83.34%,33.33%,25%,11.11%,60.04%,0%,NA,NA,NA,70.28%,41.71%,NA,NA,42.71%,NA,NA,40%,NA,53.15%,NA,NA,30.51%,32.92%,72.50%,69.45%,NA,75%,NA,80.61%,NA,NA
akt-1 V_+_10250676_10251326_10251533_10251675,akt-1,WBGene00000102,C12D8.10,V_+_10250676_10251326_10251533_10251675,NA,NA,NA,99.57%,100%,85%,98.33%,NA,100%,NA,100%,NA,NA,NA,NA,100%,NA,97.35%,100%,NA,57.09%,NA,NA,NA,NA,NA,NA,100%,NA,NA,NA,NA,NA,NA,NA,100%,96.75%,NA,90.00%,NA,NA,NA,NA,NA,NA,NA
alp-1 IV_+_8857445_8860081_8860198_8860544,alp-1,WBGene00001132,T11B7.4,IV_+_8857445_8860081_8860198_8860544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13%,NA,NA,NA,NA,NA,11.84%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
alr-1 X_-_11123276_11123971_11124017_11125020,alr-1,WBGene00044330,R08B4.2,X_-_11123276_11123971_11124017_11125020,100%,91.38%,100%,98.52%,100%,100%,100%,100%,100%,NA,100%,100%,100%,90.16%,91.67%,97.38%,98.39%,100%,100%,100%,100%,97.30%,80%,91.99%,95.78%,93.33%,100%,100%,100%,NA,98.04%,98.14%,79.61%,100%,100%,100%,100%,93.92%,100%,100%,98%,75%,100%,100%,77.78%,95.72%
alx-1 III_+_9960786_9961383_9961446_9961546,alx-1,WBGene00007010,R10E12.1,III_+_9960786_9961383_9961446_9961546,49.38%,32.63%,62.61%,40.73%,50%,92.26%,35.46%,15.90%,55.16%,16.31%,70.00%,62.80%,36.31%,31.84%,64.39%,NA,32.23%,36.51%,40.95%,69.26%,24.41%,92.87%,67.72%,69.15%,36.80%,73.65%,81.09%,39.35%,65.05%,74.45%,70.64%,67.21%,56.67%,60.42%,50%,17.92%,35.25%,30.99%,40.00%,74.61%,34.05%,47.53%,53.25%,71.18%,78.17%,64.97%
alx-1 III_+_9961664_9962086_9962194_9962760,alx-1,WBGene00007010,R10E12.1,III_+_9961664_9962086_9962194_9962760,96.00%,98.89%,98.99%,98.80%,100%,100%,100%,98.01%,93.73%,100%,93.95%,93.61%,100%,97.13%,93.94%,100%,87.43%,97.95%,100%,92.25%,67.99%,97.99%,NA,99.50%,99.40%,99.20%,93.57%,99.35%,98.77%,97.63%,93.64%,96.35%,94.41%,91.50%,100%,87.87%,98.11%,90.87%,98.48%,97.99%,99.35%,99.35%,96.35%,96.41%,98.99%,95.88%
ampd-1 II_+_5203508_5204669_5204705_5204786,ampd-1,WBGene00016415,C34F11.3,II_+_5203508_5204669_5204705_5204786,62.06%,96.68%,62.97%,67%,83.90%,86.82%,85.97%,80.32%,72.19%,90.65%,51.43%,90.96%,55.53%,66.34%,56.52%,92.75%,93.17%,84.10%,69.66%,NA,93.06%,13.09%,45.07%,54.24%,79.46%,33.66%,70.39%,75.07%,NA,39.30%,NA,32.83%,38.83%,29.10%,77.28%,55.89%,57.78%,76.23%,78.51%,52.70%,72.84%,64.09%,65.43%,59.82%,54.46%,37.42%
ampd-1 II_+_5204991_5205039_5205075_5206576,ampd-1,WBGene00016415,C34F11.3,II_+_5204991_5205039_5205075_5206576,11.33%,51.34%,8.43%,48.81%,12.50%,NA,NA,55.43%,28.67%,38.33%,11.93%,56.47%,0%,16.34%,40.40%,71.40%,3.58%,NA,19.53%,25.03%,49.28%,4.41%,9.74%,NA,10.89%,21.38%,13.73%,19.08%,32.66%,NA,NA,31.54%,13.48%,9.62%,16.07%,0%,21.87%,58.56%,28.70%,4.48%,56.75%,6.99%,40.19%,12.58%,3.30%,4.13%
ampd-1 II_+_5204991_5205039_5206406_5206576,ampd-1,WBGene00016415,C34F11.3,II_+_5204991_5205039_5206406_5206576,NA,NA,NA,NA,NA,39.94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ampd-1 II_+_5206984_5207312_5207354_5207665,ampd-1,WBGene00016415,C34F11.3,II_+_5206984_5207312_5207354_5207665,10.39%,1.33%,4.74%,4.18%,33.33%,0%,0%,1.63%,8.33%,13.10%,8.33%,7.54%,0%,6.51%,9.25%,0%,2.08%,10.05%,6.11%,0.66%,0%,15.27%,7.04%,8.51%,4.68%,6.56%,7.88%,0%,2.51%,3.24%,4.11%,0.62%,8.92%,11.72%,0%,0%,5.98%,0.93%,1.67%,1.85%,0.16%,0.99%,3.73%,3.65%,1.90%,8.20%
ani-1 III_-_12447358_12447887_12448025_12448103,ani-1,WBGene00013038,Y49E10.19,III_-_12447358_12447887_12448025_12448103,16.72%,15%,10.49%,18.27%,0%,22.73%,0%,0%,19.07%,3.13%,19.17%,25%,3.57%,14.69%,13.99%,0%,12.92%,10.83%,12.50%,NA,0%,18.35%,11.08%,15.03%,NA,52.51%,7.36%,21.00%,27.80%,25.56%,34.58%,36.77%,29.74%,30.33%,0%,NA,16.01%,20.66%,26.60%,74.66%,17.01%,38.52%,29.24%,12.05%,21.57%,19.78%
ani-1 III_-_12449756_12450393_12450868_12452275,ani-1,WBGene00013038,Y49E10.19,III_-_12449756_12450393_12450868_12452275,NA,100%,NA,77.95%,100%,NA,NA,NA,NA,100%,96%,NA,100%,NA,NA,NA,NA,NA,65%,NA,83.33%,NA,NA,NA,NA,NA,63.75%,92.96%,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.07%,NA,100%,NA,NA,80.81%,NA,100%,NA
apt-9 X_+_11068935_11069075_11069174_11069304,apt-9,WBGene00000166,W04G3.4,X_+_11068935_11069075_11069174_11069304,4.65%,6.25%,15.18%,3.13%,0%,0%,0%,0%,0%,18.71%,0%,0%,0%,5.13%,0%,4.88%,1.72%,0%,20.44%,53.48%,0%,0%,1.02%,0.40%,3.68%,0%,0%,22.47%,3.70%,NA,0%,0%,0%,3.33%,0%,8.33%,2.08%,1.83%,6.64%,0%,3.19%,0.78%,6.43%,4.17%,0%,0%
aqp-2 II_-_9259384_9259589_9259617_9259669,aqp-2,WBGene00000170,C01G6.1,II_-_9259384_9259589_9259617_9259669,42.00%,56.23%,70.46%,48.59%,78.28%,52.79%,64.14%,78.01%,60.46%,61.75%,63.18%,50.81%,97.16%,72.49%,84.45%,86.62%,44.41%,71.93%,49.35%,77.13%,59.76%,51.65%,66.06%,81.69%,82.26%,59.36%,57.39%,50.63%,61.89%,54.21%,53.56%,50.27%,52.95%,58.90%,95.83%,71.24%,70.98%,72.60%,68.07%,62.15%,66.12%,56.74%,58.43%,68.84%,39.73%,80.81%
arx-3 III_-_12052714_12053485_12053506_12053584,arx-3,WBGene00000201,Y79H2A.6,III_-_12052714_12053485_12053506_12053584,6.14%,0.37%,3.75%,2.77%,0%,0.34%,0.54%,2.58%,3.05%,0%,2.02%,2.54%,2.78%,2.41%,10.35%,0%,1.19%,1.56%,4.44%,0.75%,0%,9.14%,4.60%,1.85%,2.20%,4.45%,10.98%,3.27%,28.99%,0.46%,3.46%,8.76%,4.45%,6.93%,0%,7.44%,3.66%,1.89%,2.77%,1.72%,3.49%,1.90%,3.62%,4.41%,0.72%,3.81%
asd-1 III_+_4197327_4198868_4199115_4199983,asd-1,WBGene00011279,R74.5,III_+_4197327_4198868_4199115_4199983,94.60%,99.60%,74.04%,84.26%,63.10%,93.29%,92.97%,78.69%,92.10%,87.53%,77.85%,85.22%,100%,67.50%,71.50%,88.39%,61.66%,86.59%,87.61%,71.51%,41.29%,77.93%,87.56%,80.62%,93.48%,85.31%,85.43%,81.14%,90.41%,45.62%,65.38%,85.39%,87.21%,77.22%,57.74%,88.75%,64.71%,87.99%,48.19%,85.78%,91.81%,60.66%,78.78%,90.45%,99.43%,83.69%
asd-2 I_-_6881512_6882931_6883112_6888144,asd-2,WBGene00006423,T21G5.5,I_-_6881512_6882931_6883112_6888144,92.36%,91.59%,70.11%,94.21%,100%,96.83%,93.61%,96.13%,89.82%,62.50%,65.18%,100%,NA,88.54%,93.71%,89.15%,80.45%,68.65%,41.20%,NA,90.58%,NA,NA,NA,91.40%,88.44%,91.29%,77.29%,68.51%,51.95%,NA,76.97%,NA,NA,62.30%,100%,87.33%,90.58%,75.65%,NA,91.20%,97.41%,86.73%,100%,89.61%,NA
ate-1 I_-_9614209_9614730_9614814_9614973,ate-1,WBGene00010615,K07A1.9,I_-_9614209_9614730_9614814_9614973,71.93%,51.45%,64.42%,81.64%,50%,83.93%,40.48%,64.46%,55.17%,81.25%,58.70%,71.11%,37.12%,73.30%,54.80%,86.06%,58.38%,54.26%,67.71%,67.35%,57.26%,69.96%,50.77%,81.58%,79.65%,80.27%,83.14%,NA,71.58%,81.19%,NA,60.22%,78.04%,73.77%,100%,100%,86.86%,56.91%,76%,45.07%,64.93%,67.79%,68.34%,69.60%,65.77%,78.32%
atf-7 III_-_4494092_4498490_4498553_4498958,atf-7,WBGene00000223,C07G2.2,III_-_4494092_4498490_4498553_4498958,NA,NA,NA,NA,99.44%,NA,NA,NA,97.18%,NA,96.51%,NA,NA,NA,98.42%,NA,NA,NA,NA,NA,77.89%,NA,NA,NA,NA,NA,NA,NA,98.85%,NA,NA,97.04%,NA,NA,93.37%,NA,NA,96.17%,NA,100%,NA,96.32%,NA,95.90%,98.42%,NA
atg-5 I_+_1710996_1712715_1712828_1715160,atg-5,WBGene00022152,Y71G12B.12,I_+_1710996_1712715_1712828_1715160,99.01%,100%,100%,100%,100%,100%,100%,100%,97.48%,100%,100%,NA,100%,100%,100%,100%,100%,96.35%,100%,91.51%,100%,100%,NA,NA,98.00%,100%,100%,97.75%,100%,NA,NA,100%,NA,100%,NA,100%,100%,100%,100%,NA,100%,99.29%,NA,100%,99.55%,100%
atgp-1 IV_+_17271072_17271113_17271134_17271267,atgp-1,WBGene00000224,F26D10.9,IV_+_17271072_17271113_17271134_17271267,4.66%,4.90%,7.55%,4.72%,33.33%,9.23%,3.04%,4.41%,2.72%,0.61%,0.93%,11.40%,8.14%,4.47%,1.23%,2.83%,0.45%,1.83%,7.40%,5.26%,1.40%,0.83%,5.27%,24.70%,3.99%,5.90%,22.32%,3.88%,6.98%,8.84%,9.12%,4.03%,2.24%,7.49%,28.68%,0%,14.27%,8.90%,29.12%,9.31%,26.76%,2.78%,1.93%,4.01%,0.31%,31.39%
atic-1 IV_+_7893799_7893977_7894028_7894278,atic-1,WBGene00016957,C55F2.1,IV_+_7893799_7893977_7894028_7894278,0%,12.62%,16.83%,29.52%,0%,0%,16.67%,0%,33.00%,37.02%,3.22%,11.69%,62.75%,5.70%,0%,3.66%,0.78%,1.39%,17.71%,2.84%,22.02%,1.83%,56.27%,5.96%,1.06%,27.66%,11.72%,12.02%,32.97%,37.50%,1.99%,5.90%,7.21%,28.26%,0%,0%,10.90%,32.87%,8.80%,2.63%,24.66%,28.29%,9.00%,67.30%,3.33%,10.53%
avr-14 I_-_5971458_5972582_5972743_5973162,avr-14,WBGene00000232,B0207.12,I_-_5971458_5972582_5972743_5973162,100%,100%,95.33%,98.17%,100%,100%,100%,100%,100%,97.48%,98.89%,86.56%,NA,99.15%,98.44%,100%,98.46%,100%,100%,84.40%,97.99%,100%,94.52%,99.03%,98.67%,97.63%,98.77%,99.85%,100%,100%,91.44%,98.90%,99.58%,97.26%,96.29%,100%,100%,98.30%,99.13%,100%,97.49%,99.64%,93.79%,100%,95.24%,100%
B0001.4 IV_-_12135571_12136077_12136154_12136201,B0001.4,WBGene00007089,B0001.4,IV_-_12135571_12136077_12136154_12136201,9.19%,15.43%,37.28%,28.83%,13.89%,15.85%,9.84%,41.75%,6.51%,27.73%,8.47%,19.19%,14.48%,22.81%,18.58%,18.95%,2.36%,24.98%,18.75%,34.27%,24.43%,4.06%,1.02%,13.62%,21.37%,12.00%,13.72%,4.63%,0.63%,15.57%,10.15%,3.22%,7.77%,3.44%,5%,12.57%,27.99%,23.51%,50.63%,6.25%,39.30%,7.29%,23.25%,6.00%,2.64%,9.82%
B0495.8 II_-_7706873_7707136_7707193_7707257,B0495.8,WBGene00015207,B0495.8,II_-_7706873_7707136_7707193_7707257,3.69%,5%,11.35%,1.68%,0%,0%,0%,4.58%,18.98%,3.87%,0%,8.33%,0%,8.55%,12.84%,11.13%,4.75%,4.09%,0%,13.08%,0%,14.07%,7.59%,5.07%,4.41%,12.42%,1.52%,8.61%,6.07%,0.95%,14.86%,14.45%,9.65%,6.27%,0%,0%,5.46%,0.60%,5.92%,6.07%,7.24%,7.72%,4.88%,4.17%,8.86%,0.94%
B0563.6 X_+_9126507_9140442_9140531_9142198,B0563.6,WBGene00015263,B0563.6,X_+_9126507_9140442_9140531_9142198,NA,40%,NA,100%,NA,NA,NA,NA,100%,37.50%,100%,NA,NA,NA,NA,NA,NA,37.50%,100%,NA,NA,100%,NA,NA,NA,NA,NA,100%,100%,NA,37.50%,NA,NA,0%,NA,NA,50%,NA,75%,NA,92.92%,84.86%,100%,NA,NA,NA
B0563.6 X_+_9138082_9140442_9140531_9142198,B0563.6,WBGene00015263,B0563.6,X_+_9138082_9140442_9140531_9142198,100%,63.75%,80.87%,100%,87.86%,62.83%,58.33%,100%,86.67%,100%,100%,NA,NA,89.18%,NA,100%,100%,100%,16.67%,77.22%,100%,100%,100%,NA,82.89%,58.33%,100%,75.00%,NA,NA,100%,100%,62.79%,77.78%,100%,100%,100%,95.64%,70.83%,NA,71.35%,NA,61.95%,100%,NA,36.67%
bas-1 III_+_5613018_5613144_5613171_5613382,bas-1,WBGene00000239,C05D2.4,III_+_5613018_5613144_5613171_5613382,2.38%,NA,47.73%,45.83%,NA,25%,100%,62.78%,46.11%,0%,50%,0%,0%,6.55%,8.33%,0%,33.34%,0%,NA,0%,25%,24.45%,0%,16.67%,32.72%,40%,50%,50%,51.19%,83.87%,12.50%,41.67%,48.47%,27.91%,NA,NA,0%,9.59%,33.34%,0%,36.46%,11.11%,19.50%,0%,33.33%,25.83%
