"","Gene","WormBase_Gene_ID","Sequence_Name","AS_event_ID","ADL","AFD","AIM","AIN","AIY","ASEL","ASER","ASG","ASI","ASK","AVA","AVE","AVG","AVH","AVK","AVL","AVM","AWA","AWB","AWC","BAG","CAN","DA","DD","DVC","I5","IL1","IL2","LUA","NSM","OLL","OLQ","PHA","PVC","PVD","PVM","RIA","RIC","RIM","RIS","RMD","SMB","SMD","VB","VC","VD"
"unc-49 III_+_10524325_10524872_10527968","unc-49","WBGene00006784","T21C12.1","III_+_10524325_10524872_10527968","0%","0%","25.3025%","35.88%",NA,"0%","0%","0%","11.11%","17.46%","3.33333333333333%",NA,"6.25%","18.465%","18.3325%","35%","0%","6.25%","0%","17.27%","42.5%","16.6666666666667%","9.965%",NA,"14.5825%","25.2975%","11.11%","48.3175%","37.9633333333333%","7.145%","27.62%","23.0566666666667%","27.735%","20.492%",NA,"7.145%","38.9166666666667%","22.0875%","25.3633333333333%","23.075%","68.788%","6.992%",NA,"6.6975%","13%",NA
"unc-49 III_+_10524325_10527968_10530584","unc-49","WBGene00006784","T21C12.1","III_+_10524325_10527968_10530584","82.985%","62.5%","89.8325%","82.778%","0%","100%","96.4275%","33.335%","62.3133333333333%","92.5933333333333%","91.08%","86.1433333333333%","100%","73.39%","85.785%","91.6666666666667%","93.3333333333333%","100%","100%","98.3325%","62.5%","100%","96.4325%",NA,"67.1875%","53.5725%","84.9866666666667%","86.11%","85.15%","66.6666666666667%","81.55%","85.3166666666667%","68.625%","78.732%",NA,"83.335%",NA,"98.61%","75.06%",NA,NA,"80.518%",NA,"79.6425%","73.572%",NA
"unc-49 III_+_10528836_10528910_10529336","unc-49","WBGene00006784","T21C12.1","III_+_10528836_10528910_10529336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.9933333333333%",NA,NA,"21.6725%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unc-49 III_+_10528836_10528910_10529430","unc-49","WBGene00006784","T21C12.1","III_+_10528836_10528910_10529430",NA,NA,NA,NA,NA,NA,"6.66666666666667%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.9233333333333%",NA,NA,"100%","100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rabx-5 III_+_10606295_10609998_10610007","rabx-5","WBGene00012644","Y39A1A.5","III_+_10606295_10609998_10610007","1.4825%","0%","1.245%","2.38%","0%","16.6666666666667%","0%","1.615%","4.76333333333333%","0%","6.25%","0%","0%","9.69%","6.25%","0%","0%","3.2475%","0.434%","2.7175%","0%","15.35%","13.22%","4.545%","0%","11.9575%","1.23333333333333%","1.19%","8.88666666666667%","5.77%","14.635%","10.06%","3.335%","8.796%","5%","0%","9.268%","0%","0.61%","0.78%","3.246%","1%","4.6125%","10.8825%","4.524%","1.62%"
"M142.5 III_+_10931325_10931373_10931379","M142.5","WBGene00010922","M142.5","III_+_10931325_10931373_10931379","2.7775%","25%","22.1325%","8.182%","48.075%","50%","0%","0%","7.145%","12.5%","20.8325%","0%","14.285%","22.1425%","12.0825%","0%","21.1266666666667%","4.1675%","0%","14.4875%","0%","0%","29.055%","2.0825%","2.38%","29.6775%","10%","10%","61.6633333333333%","42.7766666666667%","38.635%","16.2366666666667%","20.45%","18.57%","0%","0%","40.5233333333333%","11.31%","6.44%","3.92%","19.936%","8.132%","9.68%","0%","6.805%","14.285%"
"kvs-4 III_+_11024152_11024215_11025051","kvs-4","WBGene00012967","Y48A6B.6","III_+_11024152_11024215_11025051","0%","0%","0%","0%",NA,"1.45%","0%","0%","0%","0%",NA,NA,NA,"0%","0%",NA,NA,"0%","0%","1.1725%","0%","0%","0%","0%",NA,"0%","0%","0%","0%","0%","0%","12.5%","0%","0%","0%","12.775%","0%","0%","0%",NA,"0%","0%","0%","0%","0%","0%"
"spat-2 III_+_11042259_11042950_11043048","spat-2","WBGene00012973","Y48A6B.13","III_+_11042259_11042950_11043048",NA,NA,NA,NA,NA,"54.1666666666667%",NA,"70.78%",NA,NA,"88.89%",NA,"75%",NA,"70.0025%",NA,NA,NA,"100%",NA,"66.5475%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80.5566666666667%",NA,NA,NA,NA,NA,NA,NA,"57.8933333333333%",NA,NA,NA,NA,NA,NA
"spat-2 III_+_11056276_11057276_11057282","spat-2","WBGene00012973","Y48A6B.13","III_+_11056276_11057276_11057282","11.815%","9.39%","19.3775%","12.9483333333333%","27.885%","34.5266666666667%","23.53%","7.6375%","17.2866666666667%","14.7525%","20.9333333333333%","3.92%","14.4933333333333%","13.42%","13.3675%","4.24333333333333%","10.3966666666667%","9.9375%","4%","11.8875%","4.675%","5.49333333333333%","20.075%","11.735%","6.475%","30.85%","10.2333333333333%","7.5075%","35.7233333333333%","44.9166666666667%","56.195%","29.7566666666667%","30.3275%","28.878%","0%","3.125%","22.08%","9.895%","14.35%","21.6033333333333%","15.212%","15.56%","15.2175%","11.6075%","13.5083333333333%","17.7625%"
"rsa-2 III_+_11064552_11065087_11065096","rsa-2","WBGene00012972","Y48A6B.11","III_+_11064552_11065087_11065096","41.785%","41.428%","33.805%","26.192%","100%","28.57%","22.2233333333333%","12.5%","13.4%","66.6666666666667%","55.334%","70%","50%","24.1675%","30.3575%","0%","6.06%","22.9175%","50%","52.5%","0%","37.66%","61.31%","17.2833333333333%","12.045%","55.015%","3.70333333333333%","5.435%","63.5766666666667%","70.295%","62.67%","48.75%","59.465%","48.085%","50%","0%","35.7083333333333%","14.5833333333333%","30%","19.2966666666667%","59%","63.334%","55.73%","37.5%","25.865%","33.8625%"
"pha-1 III_+_11132557_11132663_11132670","pha-1","WBGene00004010","Y48A6C.5","III_+_11132557_11132663_11132670",NA,"0%","0%",NA,"0%","0%",NA,"1.135%","0%","0%",NA,"0%","0%","0%","0%","13.3333333333333%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0.6725%","0.8275%","0%","50%","1.82333333333333%","18.75%","18.096%","0%",NA,"0%","19.0466666666667%",NA,"0%",NA,"0%",NA,"0%","0%","0%"
"T28D6.5 III_+_11340822_11340938_11341773","T28D6.5","WBGene00012125","T28D6.5","III_+_11340822_11340938_11341773",NA,"22.875%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.2366666666667%",NA,NA,NA,NA,"77.85%",NA
"Y66D12A.30 III_+_11610009_11610988_11610994","Y66D12A.30","WBGene00219421","Y66D12A.30","III_+_11610009_11610988_11610994","4.3475%",NA,"0%","0%",NA,NA,NA,NA,"2.94%","5.7225%","100%",NA,NA,NA,NA,NA,"0%","0%","0%","0%",NA,NA,"0%",NA,NA,NA,"0%","100%","0%",NA,NA,"0%","0%","0%",NA,NA,NA,NA,"0%",NA,"0%",NA,"0%",NA,NA,"0%"
"crh-1 III_+_11685303_11688124_11688130","crh-1","WBGene00000793","Y41C4A.4","III_+_11685303_11688124_11688130","6.56%","7.768%","6.5575%","11.225%","12.8433333333333%","5.96666666666667%","6.025%","7.0225%","6.1375%","7.1775%","9.86166666666667%","7.53666666666667%","9.48666666666667%","6.965%","8.8625%","2.04%","12.62%","5.515%","4.124%","5.7625%","2.9825%","8.71%","15.365%","11.3925%","4.8125%","18.745%","5.87%","7.91%","17.27%","10.9766666666667%","24.625%","21.5633333333333%","9.7025%","20.358%","0%","12%","8.77%","4.1775%","5.16%","11.1766666666667%","4.848%","7.028%","7.6225%","12.955%","12.2966666666667%","8.2575%"
"crh-1 III_+_11688336_11691291_11691300","crh-1","WBGene00000793","Y41C4A.4","III_+_11688336_11691291_11691300","36.815%","52.74%","37.5725%","41.87%","47.09%","45.4466666666667%","41.1475%","38.2925%","38.6%","42.9775%","36.7266666666667%","63.89%","42.2366666666667%","34.6%","44.26%","48.7166666666667%","35.9933333333333%","46.805%","28.628%",NA,"35.59%","52.37%","65.8625%","27.6875%","35.6425%","32.635%","38.0333333333333%","47.7825%","26.555%","56.0866666666667%","58.335%","37.7733333333333%","41.065%","47.53%","33.335%","38.53%","48.4483333333333%","38.75%","42.6825%","26.9566666666667%","33.296%","42.37%","42.095%","17.7625%","45.3333333333333%","48.2625%"
"F45H7.10; twk-39 III_+_11799148_11799204_11799213","F45H7.10; twk-39","WBGene00196864; WBGene00006690","F45H7.10; C24H11.8","III_+_11799148_11799204_11799213","100%","100%","100%",NA,NA,NA,"100%",NA,NA,"100%",NA,NA,NA,NA,NA,"100%","100%","100%",NA,NA,NA,NA,NA,NA,"100%",NA,NA,NA,NA,"100%",NA,NA,"100%",NA,NA,"58.335%",NA,NA,"100%",NA,NA,NA,NA,NA,NA,NA
"F45H7.10; twk-39 III_+_11801774_11802866_11802993","F45H7.10; twk-39","WBGene00196864; WBGene00006690","F45H7.10; C24H11.8","III_+_11801774_11802866_11802993","89.09%",NA,NA,"79.282%",NA,NA,"83.55%",NA,NA,"78.93%","87.7783333333333%","85.7133333333333%","43.86%","87.98%","93.055%",NA,"93.3333333333333%","100%",NA,"85.3225%",NA,NA,NA,"100%",NA,"100%","95.9533333333333%",NA,NA,"100%","100%",NA,"93.3025%",NA,NA,NA,NA,"87.385%","85.7925%","100%",NA,"94.066%","74.31%","95.8325%",NA,"95.8325%"
"F45H7.10; rsp-8 III_+_11826481_11826641_11826860","F45H7.10; rsp-8","WBGene00196864; WBGene00004705","F45H7.10; C18D11.4","III_+_11826481_11826641_11826860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98.215%",NA,NA,NA,"100%","82.145%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fbxa-218; Y48A6C.7 III_+_12436649_12437051_12438965","fbxa-218; Y48A6C.7","WBGene00013036; WBGene00198409","Y49E10.17; Y48A6C.7","III_+_12436649_12437051_12438965","96.5875%","100%","86.25%","96.1133333333333%","100%","100%","100%","100%",NA,"97.2475%","100%","66.6666666666667%","100%","95.7475%","95.455%","100%","100%","100%","91.25%","97.3325%","75%","100%","100%","100%","88.7675%","89.0475%","98.04%","98.5575%","100%","100%","95.65%","94.4433333333333%","96.6075%","98.334%","100%","100%","88.222%","91.45%","96.305%","50%","92.028%","92.17%","85.38%","89.7875%",NA,"100%"
"Y48A6C.7 III_+_12530275_12534755_12534758","Y48A6C.7","WBGene00198409","Y48A6C.7","III_+_12530275_12534755_12534758","41.665%","0%","45.835%","50%","50%","50%","100%","0%","16.665%","0%","0%","0%","0%","33.3333333333333%","50%","68.75%","17.7766666666667%","16.6666666666667%","50%","8.3325%","0%","22.2233333333333%","28.3333333333333%","36.5066666666667%","61.6675%","74.1675%","68.75%","66.6675%","64.285%","77.275%","38.125%","11.11%","30.715%","57.578%","50%","0%","65%","0%","50%","33.33%","32%","47.5%","69.87%","0%","52.7766666666667%","42.045%"
"pqn-80 III_+_12635753_12635799_12635808","pqn-80","WBGene00004161","Y111B2A.14","III_+_12635753_12635799_12635808","39.835%","25%","26.3675%","29.158%","100%","25%","61.805%","53.3333333333333%","66.465%","25%","58.334%","33.335%","0%","25.8225%","12.5%","8.33333333333333%","13.3333333333333%","33.335%","33.3333333333333%","35.6625%","10%","15.15%","77.0833333333333%","53.07%","37.03%","77.855%","0%","10.715%","72.3233333333333%","33.3333333333333%","75.94%","69%","60.4075%","57.844%","66.67%","0%","36.85%","33.3333333333333%","16.965%","31.82%","50.606%","52.7775%","41.7466666666667%","91.665%","29.206%","35.51%"
"pqn-80 III_+_12642314_12643709_12644469","pqn-80","WBGene00004161","Y111B2A.14","III_+_12642314_12643709_12644469","50%","0%","25%","56.6666666666667%","100%","25%",NA,"25%","18.75%","0%","0%","33.33%",NA,"34.1675%","93.3333333333333%","0%","25%","50%","50%","9.52333333333333%","0%",NA,NA,"38.89%","20.8325%","44.4433333333333%","0%","33.3333333333333%","13.7266666666667%","100%",NA,"28.8633333333333%",NA,"40.778%","33.33%","0%","10.715%","11.11%","20.0975%","82.05%","26.805%","50%","23.3325%","56.25%","30%","41.2875%"
"ssl-1 III_+_12742049_12743495_12743504","ssl-1","WBGene00007027","Y111B2A.22","III_+_12742049_12743495_12743504","1.47%","3.334%","3.5725%","2.465%","0%","3.845%","3.125%","1.5625%","11.1625%","0%","9.16666666666667%","0%","10.6066666666667%","1.785%","7.8125%","0%","0%","5.555%","0%","6.0725%","0%","9.78666666666667%","20.2%","22.9975%","3.7025%","28.81%","0%","0%","21.46%","38.46%","24.205%","30.0033333333333%","9.8625%","10.022%","0%","0%","1.17%","7.84333333333333%","2.94%","0%","2.372%","3.3325%","7.1425%","6.66666666666667%","16.96%","4.705%"
"lgc-37 III_+_12785243_12785284_12785290","lgc-37","WBGene00013914","ZC482.5","III_+_12785243_12785284_12785290","50%",NA,"91.6675%","100%",NA,"100%","100%",NA,"100%","100%","87.5%",NA,NA,"100%","100%","100%","95.12%",NA,"100%","81.82%",NA,"100%","90.03%","100%","91.6675%","100%","100%","100%","100%","100%","100%","95.835%","92.1875%","100%","100%","97.37%","100%","100%","100%","80%","90.952%","98.824%","94.85%","94.4433333333333%","100%","50%"
"flp-14 III_+_12911717_12913402_12913432","flp-14","WBGene00001457","Y37D8A.15","III_+_12911717_12913402_12913432","0%","0%","0.4275%","0.368333333333333%","0%","0%","0%","0%","0%","0%","0%","0%","0.25%","0.24%","0%","0%",NA,"0%","0%","0.5075%","0%","0%","0.3675%","0.5525%","0%","0.645%","0%","0.3775%","0.03%","0%","0.185%","0.293333333333333%","0.2275%","0%","0.5%","0.87%","0%","0.385%","0.0625%","0%","0.214%","0.146%","0.8825%","0%","0%","0%"
"unc-25 III_+_12942718_12943718_12944959","unc-25","WBGene00006762","Y37D8A.23","III_+_12942718_12943718_12944959","98.2425%","100%","97.9625%","97.6316666666667%",NA,"92.855%","98.685%",NA,"96.97%","100%","99.6666666666667%","100%","100%",NA,"100%",NA,"98.81%","100%","95.3125%","95.285%","94.445%",NA,NA,NA,"99.3825%","97.6825%",NA,"100%","98.45%","94.4433333333333%","93.795%","100%","97.23%","96.438%",NA,NA,NA,"99.435%",NA,"97.2766666666667%","96.12%","98.58%","97.135%",NA,NA,NA
"F54F12.2 III_+_13045360_13047703_13047715","F54F12.2","WBGene00010073","F54F12.2","III_+_13045360_13047703_13047715","33.3333333333333%",NA,"10.2875%","14.87%",NA,"0%","0%","0%","14.81%","0%","0%","0%","0%","7.71%","6.22%","0%","0%","12.5%","0%","0%","12.5%","5.12666666666667%","1.96%","12.075%","3.125%",NA,"7.51333333333333%","0%","22.6233333333333%","0%","0%","13.3333333333333%","5%","8.872%","0%",NA,"5.55666666666667%","5.96%","1.47%","0%","10.556%","21.906%","3.70333333333333%","5%",NA,"7.165%"
"F54F12.2 III_+_13047644_13047703_13047715","F54F12.2","WBGene00010073","F54F12.2","III_+_13047644_13047703_13047715",NA,NA,NA,NA,"79.545%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.1%",NA,NA,"50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100%",NA,NA,"100%",NA,NA,NA
"Y39E4B.6 III_+_13072238_13073400_13073837","Y39E4B.6","WBGene00012717","Y39E4B.6","III_+_13072238_13073400_13073837","7.0525%","20.418%","7.3925%","18.9583333333333%","7.69%","2.275%","2.6775%","6.6975%","7.61333333333333%","6.4125%","6.945%","0%","37.32%","11.825%","8.1475%","19.3333333333333%","4.76333333333333%","8.185%","30.866%","11.73%","0%","9.02666666666667%","5.1425%","17.9375%","11.0325%","7.6425%","10.3333333333333%","6.7125%","40.69%","25%","17.065%","10.3233333333333%","11.26%","8.052%","16.665%","2.94%","13.3583333333333%","12.19%","5.5%","18.75%","7.824%","8.508%","7.335%","7.175%","26.615%","9.6275%"
"dhhc-8 III_+_13111615_13111663_13111675","dhhc-8","WBGene00012718","Y39E4B.7","III_+_13111615_13111663_13111675","5.5575%","17.896%","18.2725%","10.44%","14.29%","4.16666666666667%","0.7575%","5.905%","5.4675%","15.0225%","10.6683333333333%","10%","25%","17.7325%","14.445%","16.9466666666667%","10.39%","22.6925%","0%","5.0325%","13.125%","13.27%","19.29%","11.2425%","5.6225%","31.7725%","16.4233333333333%","15.33%","56.005%","21.5166666666667%","31.395%","26.68%","35.1025%","36.868%","0%","0%","20.7483333333333%","35.56%","28.8225%","21.055%","13.202%","12.976%","12.58%","6.97%","21.4233333333333%","15.995%"
"dhhc-8 III_+_13116644_13118644_13118652","dhhc-8","WBGene00012718","Y39E4B.7","III_+_13116644_13118644_13118652","12.3775%","9.664%","11.8675%","3.45666666666667%","0%","13.36%","0%","2.55%","13.96%","8.3325%","13.3333333333333%","5.55666666666667%","23.6566666666667%","14.2175%","20.775%","0%","9.65333333333333%","11.6475%","0%","16.94%","1.6675%","18.5866666666667%","46.25%","6.465%","2.965%","31.1075%","3.75333333333333%","8.3325%","29.34%","47.62%","47.415%","38.89%","32.3075%","19.58%","0%","5.555%","27.752%","8.3325%","11.0425%","4.76333333333333%","4.602%","9.748%","10.09%","4.6875%","18%","9.8975%"
"gly-5 III_+_13197738_13200769_13200914","gly-5","WBGene00001630","Y39E4B.12","III_+_13197738_13200769_13200914","22.13%","23.332%","26.4675%","35.7483333333333%","77.78%","40.18%","44.37%","24.305%","40.13%","11.645%","28.4716666666667%","25%","12.5%","27.4275%","45.2975%","16.67%","38.5533333333333%","21.43%","40%","37.0225%","33.3333333333333%",NA,"57.0533333333333%","49.385%","25.0625%","62.605%","52.8366666666667%","21.3825%","58.545%","54.1666666666667%","48%","52.2933333333333%","43.34%","33.674%","55.715%","0%","45.3233333333333%","17.3925%","36.1775%","52.5633333333333%","36.398%","27.796%","39.45%","53.0966666666667%","59.8466666666667%","57.0325%"
"unc-64 III_+_13280657_13281419_13282222","unc-64","WBGene00006798","F56A8.7","III_+_13280657_13281419_13282222","2.6775%","0.61%","3.025%","0.336666666666667%","0%","0%","0.635%","0%","0.243333333333333%","0.625%","2.08333333333333%","0%","0%","0.2325%","1.025%","0%","0%","0%","0%","1.355%","0%",NA,NA,"0.1925%","1.1075%","2.0275%","3.13333333333333%","0%","0.39%",NA,"2.38%",NA,"3.71%","2.29%","0%","0%","0.966666666666667%","0%","0.1625%",NA,"0.668%","4.18%","1.0675%",NA,"10.4633333333333%",NA
"unc-64 III_+_13280657_13282222_13283785","unc-64","WBGene00006798","F56A8.7","III_+_13280657_13282222_13283785","96.5375%","98.128%","98.5425%","97.865%","100%","97.3333333333333%","99.5725%","93.4475%","97.2966666666667%","97.735%","96.29%","96.6033333333333%","94.2566666666667%","95.2025%","97.835%","99.32%","98.42%","96.725%","99.666%","98.7025%","98.6%","83.0033333333333%","95.28%","98.4575%","96.525%","97.86%","98.5166666666667%","88.89%","94.8675%","68.99%","95.855%","90.8433333333333%","96.145%","95.924%","96.35%","97.295%","95.8683333333333%","98.1125%","98.9425%","55.7566666666667%","98.462%",NA,"98.915%","96.9075%",NA,"95.315%"
"mtm-6 III_+_13352404_13352614_13352620","mtm-6","WBGene00003478","F53A2.8","III_+_13352404_13352614_13352620","77.0275%","66.25%","67.56%","69.034%","89.705%","88.89%","86.43%","78.655%","53.7466666666667%","93.3333333333333%","65.4733333333333%","50%","75.45%","63.6825%","78.1225%","91.2833333333333%","49.9266666666667%","80.385%","50%","66.6125%","88.095%","86.11%","70.3366666666667%","58.345%","71.7475%","76.56%","64.53%","57.4925%","76.0366666666667%","76.01%","78.065%","76.83%","73.0275%","58.778%","66.67%","32.5%","63.0583333333333%","62.59%","69.205%","85.295%","56.93%","56.382%","65.61%","69.6033333333333%","83.052%","58.1625%"
"kel-3 III_+_13466917_13466959_13466965","kel-3","WBGene00002185","T27E9.4","III_+_13466917_13466959_13466965","9.155%","6.666%","8.1175%","8.03%","50%","0%","0%","8.1175%","32.29%","5%","0%","0%","25%","10%","4.16666666666667%","5.55666666666667%","7.21333333333333%","11.4575%","0%","8.335%","25%","0%","10.66%","13.5875%","2.3875%","20.8325%","0%","9.525%","25.61%","30%","42.855%","9.26%","5.9525%","10%",NA,"0%","25.2%","0%","8.27%","7.145%","9.632%","10.648%","7.7725%","0%","7.378%","0%"
"set-16 III_+_13644140_13644183_13644194","set-16","WBGene00011729","T12D8.1","III_+_13644140_13644183_13644194","0%","0%","3.2725%","1.01%","33.33%","0%","1.5625%","0%","0.51%","2.5%","0%","0%","0%","0.65%","0%","0%","0.876666666666667%","0%","0%","0.6175%","1.1375%","0%","0.516666666666667%","0.64%","0.455%","2.8425%","0%","0%","0.255%","0%","3.095%","0%","1.5375%","0.808%","0%","0%","2.4%","0%","0.5425%","0%","0.318%","0.308%","0.275%","0%","1.41833333333333%","0.9625%"
